Scenario	Replication	[PatientStatistics].SampleAverage / 1[min]		[PatientStatistics].NumberProcessed	
1	1	54.70487515392156		17.0	
1	2	55.67146463095238		14.0	
1	3	55.995033724358976		13.0	
1	4	57.192530273529414		17.0	
1	5	58.65789326388889		12.0	
1	6	49.785665821875		16.0	
1	7	51.75737447444443		15.0	
1	8	58.33578359607842		17.0	
1	9	44.98743132708332		16.0	
1	10	57.16847265729167		16.0	
1	11	51.60359390098039		17.0	
1	12	62.25753042708334		16.0	
1	13	56.85834977291667		16.0	
1	14	59.39211296041667		16.0	
1	15	54.10462065555556		15.0	
1	16	60.37162273333332		16.0	
1	17	64.00373642708333		16.0	
1	18	62.76978690882353		17.0	
1	19	54.12223944062499		16.0	
1	20	56.382235273333336		15.0	
1	21	78.61288596875		16.0	
1	22	68.15151576041667		16.0	
1	23	75.22152032666668		15.0	
1	24	60.43165437179487		13.0	
1	25	74.17142719313725		17.0	
1	26	49.702959739583335		16.0	
1	27	50.97907415714285		14.0	
1	28	57.14026092857143		14.0	
1	29	56.36237355595238		14.0	
1	30	80.33911144761905		14.0	
1		59.24117122910698	3.19516015868492	15.4	0.5056959810868151
