Scenario	Replication	[PatientStatistics].SampleAverage / 1[min]		[PatientStatistics].NumberProcessed	
1	1	60.92088241785714		14.0	
1	2	61.88098615972221		12.0	
1	3	53.18679434166667		8.0	
1	4	68.37135418333334		17.0	
1	5	66.22877497575759		11.0	
1	6	54.93517136111111		15.0	
1	7	56.965690338461535		13.0	
1	8	88.82407096794871		13.0	
1	9	55.16446182		10.0	
1	10	64.47992471666667		7.0	
1	11	68.9970711788889		15.0	
1	12	77.352013635		10.0	
1	13	55.68459594166666		10.0	
1	14	60.74044520833333		10.0	
1	15	63.52242382575758		11.0	
1	16	71.36590232307692		13.0	
1	17	91.87194279285714		14.0	
1	18	82.09670128194445		12.0	
1	19	63.85388878055555		12.0	
1	20	75.73142718717948		13.0	
1	21	119.36050703194445		12.0	
1	22	81.73215764479167		16.0	
1	23	121.8094929474359		13.0	
1	24	78.3618814439394		11.0	
1	25	124.68126886111112		12.0	
1	26	57.95350880714285		14.0	
1	27	50.7683899537037		9.0	
1	28	66.85329089722221		12.0	
1	29	64.53062409242425		11.0	
1	30	110.20227960897437		13.0	
1		73.94759749088253	7.76900284823789	12.1	0.8397475451915132
