Scenario	Replication	[PatientStatistics].SampleAverage / 1[min]		[PatientStatistics].NumberProcessed	
1	1	49.713290511904766		14.0	
1	2	48.650098665277774		12.0	
1	3	45.226721893749996		8.0	
1	4	47.616810856862735		17.0	
1	5	40.39723123030303		11.0	
1	6	44.429212509999985		15.0	
1	7	49.492041137179484		13.0	
1	8	53.7270157923077		13.0	
1	9	47.64808313833333		10.0	
1	10	53.27901561666666		7.0	
1	11	42.33105653777777		15.0	
1	12	63.06003882999999		10.0	
1	13	42.522907493333335		10.0	
1	14	50.539825164999996		10.0	
1	15	53.81498322272727		11.0	
1	16	57.49953887307692		13.0	
1	17	58.06109689642857		14.0	
1	18	58.909966041666664		12.0	
1	19	54.17677933194444		12.0	
1	20	57.522091661538454		13.0	
1	21	85.83256251805557		12.0	
1	22	65.64334678437498		16.0	
1	23	74.51782781666665		13.0	
1	24	54.44198953636363		11.0	
1	25	65.34447042261904		14.0	
1	26	45.02892586190475		14.0	
1	27	42.309182283333335		9.0	
1	28	51.82015908333333		12.0	
1	29	47.26328737121211		11.0	
1	30	67.71819716282052		13.0	
1		53.95125847489209	3.850289001641852	12.166666666666666	0.8496116449990594
