Scenario	Replication	[PatientStatistics].SampleAverage / 1[min]		[PatientStatistics].NumberProcessed	
1	1	45.42737307450979		17.0	
1	2	45.76464392738095		14.0	
1	3	50.44360152820513		13.0	
1	4	45.69169387254901		17.0	
1	5	39.637476634722226		12.0	
1	6	42.266200246874995		16.0	
1	7	47.01585161111111		15.0	
1	8	45.44889713921569		17.0	
1	9	40.96060132604167		16.0	
1	10	46.436444041666654		16.0	
1	11	43.13024964117646		17.0	
1	12	54.2865735875		16.0	
1	13	48.19071251979167		16.0	
1	14	47.62099116354167		16.0	
1	15	47.01938792888888		15.0	
1	16	50.78942652916667		16.0	
1	17	51.73020556041667		16.0	
1	18	53.07864113039215		17.0	
1	19	46.755081948958335		16.0	
1	20	50.49929370555556		15.0	
1	21	64.94283305937499		16.0	
1	22	59.05867410416667		16.0	
1	23	52.601765211111115		15.0	
1	24	48.32061272307692		13.0	
1	25	54.901948970588236		17.0	
1	26	43.41611553229166		16.0	
1	27	46.30022823928571		14.0	
1	28	49.25338524404763		14.0	
1	29	43.03391954166666		14.0	
1	30	60.38621353571429		14.0	
1		48.813634775966314	2.155791306738408	15.4	0.5056959810868151
