Scenario	Replication	[PatientStatistics].SampleAverage / 1[min]		[PatientStatistics].NumberProcessed	
1	1	50.96164529509804		17.0	
1	2	48.28722314166666		14.0	
1	3	50.68810682051282		13.0	
1	4	48.58231753039216		17.0	
1	5	45.032007734722214		12.0	
1	6	43.249464527083326		16.0	
1	7	48.631277706666665		15.0	
1	8	49.339722076470586		17.0	
1	9	42.27806650520832		16.0	
1	10	55.232675554166654		16.0	
1	11	44.83723261176471		17.0	
1	12	57.844156757291664		16.0	
1	13	50.93497414791668		16.0	
1	14	56.09427284479167		16.0	
1	15	49.208823547777776		15.0	
1	16	53.645590134375		16.0	
1	17	55.71849493125		16.0	
1	18	58.52646415882352		17.0	
1	19	49.416505982291675		16.0	
1	20	51.484012566666664		15.0	
1	21	73.17120918645833		16.0	
1	22	62.35390902812501		16.0	
1	23	63.85279293999999		15.0	
1	24	72.24876062333333		15.0	
1	25	61.72625597647058		17.0	
1	26	45.71455160937499		16.0	
1	27	47.59653679999999		14.0	
1	28	51.972451554761896		14.0	
1	29	48.74307517023809		14.0	
1	30	68.56091535714287		14.0	
1		53.53111642736139	3.044269462227575	15.466666666666667	0.47767009567955326
