Scenario	Replication	[PatientStatistics].SampleAverage / 1[min]		[PatientStatistics].NumberProcessed	
1	1	54.84814622857142		14.0	
1	2	52.364601252777774		12.0	
1	3	45.624042993749995		8.0	
1	4	55.50196611960784		17.0	
1	5	49.43262731363636		11.0	
1	6	46.912160042222226		15.0	
1	7	51.38094742948717		13.0	
1	8	65.51152588076923		13.0	
1	9	48.53223851833333		10.0	
1	10	55.98420431428571		7.0	
1	11	48.54865299888888		15.0	
1	12	69.179090625		10.0	
1	13	44.187154168333336		10.0	
1	14	52.55606670833334		10.0	
1	15	56.203841218181815		11.0	
1	16	62.024545293589746		13.0	
1	17	67.02014494642859		14.0	
1	18	71.49916635277778		12.0	
1	19	59.82468488333333		12.0	
1	20	57.38162128205128		13.0	
1	21	105.66556251805557		12.0	
1	22	72.57590610833333		16.0	
1	23	93.15789544871792		13.0	
1	24	72.05873494583332		12.0	
1	25	77.40265194404762		14.0	
1	26	47.655709949999995		14.0	
1	27	45.419848949999995		9.0	
1	28	60.90502512083332		12.0	
1	29	55.229127986363636		11.0	
1	30	85.00739724358975		13.0	
1		60.98650962620445	5.525148771806604	12.2	0.8457366509491124
