Scenario	Replication	[PatientStatistics].SampleAverage / 1[min]		[PatientStatistics].NumberProcessed	
1	1	50.2083197362745		17.0	
1	2	52.037862742857136		14.0	
1	3	56.098210130769225		13.0	
1	4	54.609809229411766		17.0	
1	5	50.30068328749999		12.0	
1	6	47.86701009583332		16.0	
1	7	50.702588333333324		15.0	
1	8	52.35058330392157		17.0	
1	9	43.20339964791666		16.0	
1	10	49.06198050208334		16.0	
1	11	50.18467291862746		17.0	
1	12	59.1210479625		16.0	
1	13	53.8347736375		16.0	
1	14	51.226868564583334		16.0	
1	15	52.04116508555555		15.0	
1	16	57.23619821979165		16.0	
1	17	60.70158622916668		16.0	
1	18	57.8091797362745		17.0	
1	19	51.76645821979165		16.0	
1	20	57.938167692222216		15.0	
1	21	71.067091440625		16.0	
1	22	64.77207725		16.0	
1	23	66.13306166888889		15.0	
1	24	58.7943914153846		13.0	
1	25	69.52528578235294		17.0	
1	26	46.70456224687499		16.0	
1	27	49.546009388095236		14.0	
1	28	54.41595992380952		14.0	
1	29	49.564352317857136		14.0	
1	30	70.9570458845238		14.0	
1		55.32601341981088	2.701127503641817	15.4	0.5056959810868151
