Scenario	Replication	[PatientStatistics].SampleAverage / 1[min]		[PatientStatistics].NumberProcessed	
1	1	58.46244873452381		14.0	
1	2	57.333311124999994		12.0	
1	3	52.78947324166667		8.0	
1	4	59.01153344019609		17.0	
1	5	56.22796343939394		11.0	
1	6	54.01468176555556		15.0	
1	7	54.14882348974358		13.0	
1	8	75.84610694102565		13.0	
1	9	52.77080604166667		10.0	
1	10	61.77473601904762		7.0	
1	11	51.61806723666666		15.0	
1	12	71.48744132666666		10.0	
1	13	52.26366836166666		10.0	
1	14	54.73698592166666		10.0	
1	15	60.70756308484848		11.0	
1	16	67.43101714487177		13.0	
1	17	78.6697372642857		14.0	
1	18	67.55745099722222		12.0	
1	19	61.21873207916667		12.0	
1	20	68.77890081410257		13.0	
1	21	99.52750703194445		12.0	
1	22	77.81481344999999		16.0	
1	23	109.36589523333333		13.0	
1	24	73.8151285060606		11.0	
1	25	86.50366323333334		14.0	
1	26	49.66258748452381		14.0	
1	27	47.65772328703703		9.0	
1	28	59.63085971666666		12.0	
1	29	55.58962722424243		11.0	
1	30	91.56526727307691		13.0	
1		65.59941736364007	5.728848720745761	12.166666666666666	0.8496116449990594
